set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2025_bowman_chrome,2025,Bowman,Chrome,bobby witt jr.,Bobby Witt Jr.,8,8,ADIOS|ADIOS AUTOGRAPH VARIATION|BASE CARDS|BOWMAN ASCENSION AUTOGRAPHS|BOWMAN ASCENSIONS|BOWMAN GPK|CHROME AUTOGRAPH RELICS|METEORIC RISE,1,Kansas City Royals
2025_bowman_chrome,2025,Bowman,Chrome,boston red sox,Boston Red Sox,2,3,AAV-MM|CRA-KC|CRA-MM,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,braden montgomery,Braden Montgomery,1,1,BOWMAN SPOTLIGHTS,1,Chicago White Sox
2025_bowman_chrome,2025,Bowman,Chrome,brayan cortesia,Brayan Cortesia,2,4,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS|INTERNATIONAL REFRACTOR AUTOGRAPH VARIATION|INTERNATIONAL REFRACTOR VARIATION,1,Washington Nationals
2025_bowman_chrome,2025,Bowman,Chrome,braylon payne,Braylon Payne,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Milwaukee Brewers
2025_bowman_chrome,2025,Bowman,Chrome,brett bateman,Brett Bateman,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Chicago Cubs
2025_bowman_chrome,2025,Bowman,Chrome,bryce boettcher,Bryce Boettcher,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Houston Astros
2025_bowman_chrome,2025,Bowman,Chrome,bryce eldridge,Bryce Eldridge,7,7,ADIOS|ADIOS AUTOGRAPH VARIATION|BOWMAN CHROME PROSPECTS|BOWMAN GPK|MELT MASHERS|MELT MASHERS AUTOGRAPH VARIATION|METEORIC RISE,1,San Francisco Giants
2025_bowman_chrome,2025,Bowman,Chrome,bryce harper,Bryce Harper,3,3,BASE CARDS|BOWMAN GPK|METEORIC RISE,1,Philadelphia Phillies
2025_bowman_chrome,2025,Bowman,Chrome,bryce rainer,Bryce Rainer,1,1,BOWMAN SPOTLIGHTS,1,Detroit Tigers
2025_bowman_chrome,2025,Bowman,Chrome,bubba chandler,Bubba Chandler,3,3,BOWMAN CHROME PROSPECTS|BOWMAN SPOTLIGHTS|CHROME AUTOGRAPH RELICS,1,Pittsburgh Pirates
2025_bowman_chrome,2025,Bowman,Chrome,cade horton,Cade Horton,1,2,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION,1,Chicago Cubs	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,cade smith,Cade Smith,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,New York Yankees
2025_bowman_chrome,2025,Bowman,Chrome,caden powell,Caden Powell,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Houston Astros
2025_bowman_chrome,2025,Bowman,Chrome,cam schlittler,Cam Schlittler,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,New York Yankees
