player_name,wins,losses,win_rate,avg_win_margin,played
Brandon Young,1327,1793,0.425321,3.965,3171
Kyren Paris,1194,1614,0.425214,1.0771,2853
Graham Pauley,1415,1922,0.424034,1.7994,3417
Omar Cruz,1470,2005,0.423022,8.9029,3547
Chase Lee,879,1205,0.421785,3.9665,2114
Manuel Margot,1067,1472,0.420244,2.364,2602
Raymond Burgos,1219,1695,0.418325,2.2345,2961
Gage Workman,1430,1995,0.417518,15.3342,3498
Adrian Del Castillo,1068,1491,0.417351,5.0015,2612
Brady Feigl,1377,1934,0.415886,4.381,3392
CJ Alexander,1356,1907,0.415568,4.034,3342
Justin Verlander,2089,2958,0.413909,8.1198,5121
Zak Kent,950,1348,0.413403,18.7767,2345
Braxton Fulford,1144,1631,0.412252,3.613,2862
Paxton Schultz,742,1062,0.411308,3.9241,1866
Santiago Espinal,1620,2324,0.410751,2.0729,4070
Lake Bachar,1566,2252,0.410162,5.4245,3934
Luis Urías,506,731,0.409054,2.1205,1245
Tyler Freeman,1385,2001,0.409037,1.1945,3460
Michael Petersen,1414,2044,0.408907,1.7523,3507
Juan Morillo,1239,1794,0.408506,3.6194,3113
Kevin Pillar,1376,2001,0.407462,1.2139,3443
Dustin May,1192,1738,0.406826,2.3554,2993
Cade Gibson,1076,1574,0.406038,3.8652,2707
Ryan Pressly,1551,2276,0.405278,1.7583,3890
Daniel Robert,1288,1895,0.40465,1.276,3236
Eric Haase,1428,2103,0.404418,4.4153,3624
Chase Dollander,2007,2959,0.404148,5.4053,5034
Eric Yang,1386,2047,0.403729,4.2208,3486
Gunnar Hoglund,960,1434,0.401003,2.8238,2446
Connor Joe,1178,1771,0.399457,1.9647,2995
Adam Frazier,890,1342,0.398746,4.463,2268
Griffin Canning,1181,1797,0.396575,5.2932,3037
Luarbert Arias,1583,2410,0.396444,4.2379,4047
Zebby Matthews,1268,1934,0.396002,15.8918,3319
Yaramil Hiraldo,1169,1792,0.394799,3.3456,3027
Landen Roupp,1276,1980,0.391892,1.2051,3303
Joe Boyle,1502,2331,0.39186,2.6253,3929
Ty France,1302,2024,0.391461,7.1355,3388
Mike Tauchman,1299,2020,0.391383,2.6431,3352
Rowdy Tellez,1091,1702,0.390619,5.3164,2843
Ronny Simon,1171,1840,0.388907,4.5135,3101
Gavin Sheets,1326,2107,0.386251,2.7181,3491
Caleb Freeman,1051,1693,0.383017,2.0258,2805
Erik Sabrowski,1315,2122,0.382601,1.7713,3506
Jose Herrera,1376,2238,0.380742,2.4691,3644
Michael Taylor,1214,1975,0.380684,1.5984,3271
Myles Straw,976,1601,0.378735,2.9815,2615
Donovan Solano,1474,2421,0.378434,2.9144,3968
Mitch Spence,1461,2438,0.374711,3.9038,3941
Tylor Megill,1200,2023,0.372324,2.606,3280
Matthew Liberatore,1109,1875,0.371649,3.0281,3045
Jamie Westbrook,1187,2024,0.369667,1.9458,3244
Steven Matz,1324,2261,0.369317,5.1508,3682
Tanner Gordon,1178,2028,0.367436,1.4737,3263
Parker Dunshee,1478,2580,0.364219,3.8762,4137
Matt Mervis,1271,2250,0.360977,1.955,3574
Nick Pivetta,1121,1991,0.360219,1.608,3176
Walker Buehler,749,1333,0.35975,2.5583,2141
Blade Tidwell,889,1594,0.358035,4.9212,2545
Jason Heyward,1030,1851,0.357515,2.9833,2948
Nathan Wiles,973,1759,0.356149,6.2726,2832
Ryan Rolison,947,1714,0.355881,3.5538,2694
Michael Lorenzen,1428,2627,0.352158,1.885,4128
Max Meyer,877,1620,0.351221,3.3109,2562
Nathaniel Lowe,1222,2270,0.349943,39.3547,3537
