seller_username,title,all_in_price,CT_list,player_guess
outfieldace,2025 Topps Update Sandglitter #US274 Maverick Handley Orioles RC,1.99,Sandglitter,Maverick Handley
jemclau5287,2025 Topps Update Series - Maverick Handley #US274 (RC),1.99,,Maverick Handley
jostra-7960,2025 Topps Update Series - Holiday Ghost Foil  Maverick Handley RC SP,5.5,Holiday Ghost,Maverick Handley
bensouthsportscards,2025 Topps Update #US274 Maverick Handley Holo Foil,1.79,,Maverick Handley
glr_cards,2025 Topps Update #US274 Maverick Handley Orioles Green Foil /99 Rookie,5.99,Green Foil,Maverick Handley
gth_5015,2025 Topps Update Maverick Handley Rookie #US274 Diamante Foil Baltimore Orioles,3.38,Diamante,Maverick Handley
cardlady14,2025 Topps Update Maverick Handley Rookie #US274 Diamante Foil Baltimore Orioles,3.31,Diamante,Maverick Handley
michmill.3cgtq,Maverick Handley 2025 Topps Update Purple Foil Parallel RC 249/250 #US274 Rookie,3.81,Purple Rainbow,Maverick Handley
traneofthought,Maverick Handley 2025 Topps Update #US274 Diamante Foil Rookie,2.19,Diamante,Maverick Handley
pet_that_goat,2025 Topps Update - Topps Logo Foil - #US274 Maverick Handley RC,5.99,,Maverick Handley
pskell02,2025 Topps Update Maverick Handley #US274 Holiday,1.84,,Maverick Handley
nra9191,2025 Topps Update  MAVERICK HANDLEY  RC  Diamante Foil  #US274,1.85,Diamante,Maverick Handley
erro-borc,2025 Topps Update Series • #US274 Maverick Handley RC • Baltimore Oriolesy Y76,2.99,,Maverick Handley
hbggaming,2025 Topps Update Series • #US274 Maverick Handley RC • Baltimore Orioles,1.69,,Maverick Handley
downtown.collects,2025 Topps Update #US274 Maverick Handley Gold Shimmer Foil #/50,21.71,Gold 50,Maverick Handley
slammer1981,2025 Topps Update Series - Maverick Handley #US274 (RC),1.84,,Maverick Handley
jemclau5287,2025 Topps Update Series - Maverick Handley #US274 Diamante Foil (RC),2.25,Diamante,Maverick Handley
417dlthome,2025 Topps Update Maverick Handley   Rookie RC Independence Day #/75 Orioles,19.99,Independence Day 76,Maverick Handley
outfieldace,2025 Topps Update Maverick Handley #US274 RC HOLIDAY JACK O LANTERN FOIL,10.0,Holiday Jackolantern,Maverick Handley
kjstone7355,2025 Topps Update Series - Maverick Handley #US274 Holiday Foil (RC),1.69,,Maverick Handley
wever42545cal,2025 Topps Update Gold Cracked Ice Maverick Handley 35/50,25.0,Gold 50,Maverick Handley
417dlthome,2025 Topps Update Maverick Handley   Rookie RC Blue Foil #/150 Orioles #US274,5.99,Blue Rainbow,Maverick Handley
aimhighcollectibles,Maverick Handley 2025 Topps Update #US274 Green Holo Foil #/99 Orioles RC,5.95,Green Foil,Maverick Handley
slammer1981,2025 Topps Update Series - Maverick Handley #US274 (RC),1.84,,Maverick Handley
bcsportscardshop,2025 Topps Update Maverick Handley Rookie RC BLACK Rainbow Orioles #’d 10/10 🔥,94.99,Black 10,Maverick Handley
norf-6217,2025 Topps Update Maverick Handley #US274 Gold #/2025 RC,2.48,Gold 2025,Maverick Handley
rt_card_vault,2025 Topps Update Maverick Handley #US274 Gold #/2025 RC,2.78,Gold 2025,Maverick Handley
